0,1,dist,time
73.95,40.7898,0.3,58
-64.95,45.9859,4.2,982
-65.25,40.7898,1.64,840
-65.4,40.7032,0.88,300
-66.45,42.6951,1.7,1026
-67.05,39.9238,1,265
-67.5,41.0496,0.5,324
-69.9,43.4745,3.8,667
-70.05,40.6166,0.58,960
-70.8,40.7032,1.88,540
-70.95,40.7898,7.4,1200
-71.25,41.4826,1.96,540
-71.4,40.7032,1.54,480
-71.55,35.5936,1.1,693
-71.7,40.3568,2.8,769
-72.3,40.3568,1.86,420
-72.45,40.7898,3.34,600
-73.05,40.7898,1.15,240
-73.2,41.2228,0,46.5
-73.2,40.8764,12.55,920
-73.2,40.7032,1.1,420
-73.35,41.1362,0.5,168.75
-73.35,40.7898,0.575,279.25
-73.35,40.6166,0,1.5
-73.5,41.0496,0,78.25
-73.5,40.8764,0,79
-73.5,40.7032,3.405,628.4
-73.5,40.53,0.5,30
-73.65,41.1362,2.56,1020
-73.65,40.963,0.9625,252.25
-73.65,40.7898,1.59,326.326923077
-73.65,40.6166,3.218636364,564.136363636
-73.65,40.4434,51.7,10740
-73.65,40.097,10.77,1380
-73.8,41.0496,4.586666667,441.111111111
-73.8,40.8764,2.787393365,622.023696682
-73.8,40.7032,14.122256084,1871.587695133
-73.8,40.53,3.93,1083.6
-73.8,40.3568,2.03,900
-73.95,48.7572,0.52,240
-73.95,48.4108,3.56,780
-73.95,47.5448,0.49,180
-73.95,46.1592,1,360
-73.95,45.9859,1.44,360
-73.95,44.0807,4.42,1620
-73.95,43.3879,1.66,540
-73.95,42.8683,1.37,660
-73.95,42.5218,8,960
-73.95,41.4826,2.3,600
-73.95,41.3094,2.81,630
-73.95,41.1362,3,690
-73.95,40.963,3.021230769,571.138461538
-73.95,40.7898,2.509330298,655.626278192
-73.95,40.6166,3.767221104,808.459423206
-73.95,40.4434,1.77125,580.75
-73.95,40.2702,3.206666667,940
-73.95,40.097,1.38,480
-73.95,39.5774,1.08,480
-73.95,38.7113,6.12,1560
-74.1,41.2228,2.3,920
-74.1,41.0496,6.25,588
-74.1,40.8764,2.006224490,553.489795918
-74.1,40.7032,3.770832175,803.439356015
-74.1,40.53,4.756470588,863.558823529
-74.1,40.3568,1.82,660
-74.25,41.1362,0.97,360
-74.25,40.963,0.285,100.5
-74.25,40.7898,1.967307692,260.461538462
-74.25,40.6166,5.807,829.35
-74.25,40.4434,2.214,760.8
-74.4,41.0496,1.94,600
-74.4,40.8764,2.989411765,769.352941176
-74.4,40.7032,4.109230769,407.461538462
-74.4,40.53,8.55,751.2
-74.55,41.1362,0.95,420
-74.55,40.963,6.47,840
-74.55,40.7898,13.3575,1276.5
-74.55,40.6166,0,60
-74.7,40.7032,0,283
-74.85,40.7898,4.196666667,1160
-74.85,40.6166,0.5,24
-74.85,36.1133,11.5,1354
-75,40.7032,3.84,1050
-75.15,42.0022,1.69,720
-75.15,39.9238,0.93,600
-75.3,40.7032,2.3,660
-76.5,42.4352,2.6,913
-76.65,40.7898,5.85,2100
-76.8,47.6314,1.9,957
-77.4,40.7032,4.27,1320
-78.15,34.5544,3.9,891
-78.75,40.7898,1.25,540
-79.05,40.7898,1.26,720
-79.5,40.7032,3.96,900
-79.95,40.7898,0.13,420
-80.1,40.7032,1.09,600
-80.55,48.9304,1.1,342
-80.55,41.6558,1.2,458
-80.55,40.7898,10.09,1800
-83.25,40.7898,2.97,780
-85.8,40.7032,6.33,1020
-87.15,40.7898,0.45,180
-88.95,40.7898,2.09,720
-92.7,40.8764,2.05,660
-93,40.7032,1.1,480
-93.45,40.7898,1,180
-94.05,40.6166,2.44,420
